TICKER,OFTIC,ACTDATS,ESTIMATOR,FPI,MEASURE,VALUE,FPEDATS,ACTTIMS,ANNDATS,ANNDATS_ACT,ANNTIMS_ACT
AAPL,AAPL,20140128,01951,1,EPS,6.1229,20140930,0:12:35,20140127,20141020,16:30:00
AAPL,AAPL,20140128,03369,1,EPS,6.1086,20140930,11:42:41,20140127,20141020,16:30:00
AAPL,AAPL,20140128,00260,1,EPS,6.1543,20140930,5:32:57,20140127,20141020,16:30:00
AAPL,AAPL,20140128,00220,1,EPS,6.1757,20140930,10:32:30,20140127,20141020,16:30:00
AAPL,AAPL,20140128,00031,1,EPS,6.0671,20140930,4:39:20,20140127,20141020,16:30:00
AAPL,AAPL,20140128,00183,1,EPS,5.9871,20140930,6:41:49,20140127,20141020,16:30:00
AAPL,AAPL,20140128,00282,1,EPS,6.0643,20140930,5:24:42,20140127,20141020,16:30:00
AAPL,AAPL,20140128,00011,1,EPS,6.3714,20140930,9:45:16,20140128,20141020,16:30:00
AAPL,AAPL,20140128,03374,1,EPS,5.8729,20140930,14:04:05,20140128,20141020,16:30:00
AAPL,AAPL,20140128,03322,1,EPS,6.08,20140930,13:51:16,20140128,20141020,16:30:00
AAPL,AAPL,20140128,03102,1,EPS,5.9486,20140930,14:20:54,20140128,20141020,16:30:00
AAPL,AAPL,20140128,02502,1,EPS,5.9986,20140930,8:57:39,20140128,20141020,16:30:00
AAPL,AAPL,20140128,02628,1,EPS,6.0643,20140930,10:14:49,20140128,20141020,16:30:00
AAPL,AAPL,20140128,02143,1,EPS,6.0429,20140930,13:46:56,20140128,20141020,16:30:00
AAPL,AAPL,20140128,01989,1,EPS,6.04,20140930,12:35:42,20140128,20141020,16:30:00
AAPL,AAPL,20140128,01749,1,EPS,6.3286,20140930,6:49:41,20140128,20141020,16:30:00
AAPL,AAPL,20140128,01549,1,EPS,6.1229,20140930,7:40:42,20140128,20141020,16:30:00
AAPL,AAPL,20140128,01267,1,EPS,6,20140930,4:51:06,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00930,1,EPS,6.1814,20140930,6:16:19,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00899,1,EPS,5.8943,20140930,8:58:26,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00873,1,EPS,6.2886,20140930,9:26:07,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00559,1,EPS,5.9086,20140930,8:39:18,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00468,1,EPS,5.9636,20140930,5:55:32,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00464,1,EPS,6.2,20140930,13:27:00,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00176,1,EPS,6.1029,20140930,8:23:41,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00206,1,EPS,6.3257,20140930,7:35:59,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00098,1,EPS,6.1214,20140930,13:22:36,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00100,1,EPS,6.3894,20140930,9:28:38,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00029,1,EPS,5.9729,20140930,12:59:22,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00118,1,EPS,6.4143,20140930,6:40:35,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00192,1,EPS,5.8843,20140930,6:44:14,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00142,1,EPS,6.1043,20140930,12:46:16,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00020,1,EPS,5.8986,20140930,5:05:28,20140128,20141020,16:30:00
AAPL,AAPL,20140128,00228,1,EPS,5.9229,20140930,3:11:32,20140128,20141020,16:30:00
AAPL,AAPL,20140129,03346,1,EPS,6.2157,20140930,12:28:31,20140128,20141020,16:30:00
AAPL,AAPL,20140129,02334,1,EPS,6.3443,20140930,10:35:21,20140128,20141020,16:30:00
AAPL,AAPL,20140129,01241,1,EPS,6.1743,20140930,13:16:31,20140128,20141020,16:30:00
AAPL,AAPL,20140129,00254,1,EPS,5.9129,20140930,8:43:05,20140128,20141020,16:30:00
AAPL,AAPL,20140129,03294,1,EPS,5.9943,20140930,12:09:28,20140128,20141020,16:30:00
AAPL,AAPL,20140129,03364,1,EPS,5.8571,20140930,12:21:04,20140128,20141020,16:30:00
AAPL,AAPL,20140129,03742,1,EPS,6.1829,20140930,11:54:53,20140128,20141020,16:30:00
AAPL,AAPL,20140129,03138,1,EPS,6.5114,20140930,8:41:49,20140128,20141020,16:30:00
AAPL,AAPL,20140129,01749,1,EPS,6.3243,20140930,4:22:57,20140129,20141020,16:30:00
AAPL,AAPL,20140129,02830,1,EPS,5.7429,20140930,14:50:34,20140129,20141020,16:30:00
AAPL,AAPL,20140130,02599,1,EPS,6.1071,20140930,10:42:51,20140130,20141020,16:30:00
AAPL,AAPL,20140130,02283,1,EPS,6.18,20140930,10:05:18,20140130,20141020,16:30:00
AAPL,AAPL,20140201,03322,1,EPS,6.16,20140930,7:41:08,20140131,20141020,16:30:00
AAPL,AAPL,20140203,00085,1,EPS,6.0229,20140930,3:53:49,20140202,20141020,16:30:00
AAPL,AAPL,20140206,00898,1,EPS,6.0886,20140930,12:51:40,20140206,20141020,16:30:00
AAPL,AAPL,20140209,00085,1,EPS,6.1257,20140930,13:41:04,20140207,20141020,16:30:00
AAPL,AAPL,20140213,00930,1,EPS,6.2043,20140930,2:31:18,20140213,20141020,16:30:00
AAPL,AAPL,20140214,02830,1,EPS,5.7471,20140930,13:43:34,20140214,20141020,16:30:00
AAPL,AAPL,20140214,00183,1,EPS,6.05,20140930,4:04:17,20140214,20141020,16:30:00
AAPL,AAPL,20140226,00042,1,EPS,5.9086,20140930,4:33:29,20140225,20141020,16:30:00
AAPL,AAPL,20140303,01951,1,EPS,6.1314,20140930,6:59:27,20140303,20141020,16:30:00
AAPL,AAPL,20140305,00011,1,EPS,6.4,20140930,8:20:51,20140305,20141020,16:30:00
AAPL,AAPL,20140313,02830,1,EPS,5.6529,20140930,10:48:42,20140313,20141020,16:30:00
AAPL,AAPL,20140318,03594,1,EPS,6.2471,20140930,1:43:38,20140317,20141020,16:30:00
AAPL,AAPL,20140321,02394,1,EPS,6.3516,20140930,15:32:26,20140321,20141020,16:30:00
AAPL,AAPL,20140327,00930,1,EPS,6.1271,20140930,0:14:37,20140327,20141020,16:30:00
AAPL,AAPL,20140328,02343,1,EPS,6.0771,20140930,10:23:40,20140328,20141020,16:30:00
AAPL,AAPL,20140328,01267,1,EPS,6.0571,20140930,4:20:24,20140328,20141020,16:30:00
AAPL,AAPL,20140402,03374,1,EPS,6.0257,20140930,11:09:13,20140402,20141020,16:30:00
AAPL,AAPL,20140402,01749,1,EPS,6.2971,20140930,14:14:56,20140402,20141020,16:30:00
AAPL,AAPL,20140402,00898,1,EPS,6.11,20140930,11:15:39,20140402,20141020,16:30:00
AAPL,AAPL,20140404,02394,1,EPS,6.0546,20140930,12:23:18,20140404,20141020,16:30:00
AAPL,AAPL,20140404,00042,1,EPS,5.9414,20140930,3:19:46,20140404,20141020,16:30:00
AAPL,AAPL,20140408,00873,1,EPS,6.2114,20140930,5:02:58,20140408,20141020,16:30:00
AAPL,AAPL,20140409,00029,1,EPS,6.0357,20140930,5:46:00,20140409,20141020,16:30:00
AAPL,AAPL,20140410,00157,1,EPS,6.1071,20140930,2:45:08,20140410,20141020,16:30:00
AAPL,AAPL,20140411,00468,1,EPS,5.9753,20140930,7:34:07,20140411,20141020,16:30:00
AAPL,AAPL,20140411,02830,1,EPS,5.6129,20140930,8:35:40,20140411,20141020,16:30:00
AAPL,AAPL,20140415,00029,1,EPS,6.1157,20140930,23:43:54,20140415,20141020,16:30:00
AAPL,AAPL,20140415,00020,1,EPS,5.9586,20140930,7:19:17,20140415,20141020,16:30:00
AAPL,AAPL,20140415,01549,1,EPS,6.1143,20140930,10:56:37,20140415,20141020,16:30:00
AAPL,AAPL,20140416,03742,1,EPS,6.2729,20140930,9:17:58,20140416,20141020,16:30:00
AAPL,AAPL,20140416,00183,1,EPS,6.0871,20140930,2:45:17,20140416,20141020,16:30:00
AAPL,AAPL,20140417,02334,1,EPS,6.2914,20140930,11:03:01,20140417,20141020,16:30:00
AAPL,AAPL,20140420,01749,1,EPS,6.3,20140930,21:39:16,20140417,20141020,16:30:00
AAPL,AAPL,20140421,00085,1,EPS,6.05,20140930,6:03:47,20140420,20141020,16:30:00
AAPL,AAPL,20140421,01951,1,EPS,5.9586,20140930,3:31:49,20140420,20141020,16:30:00
AAPL,AAPL,20140421,00118,1,EPS,6.3586,20140930,3:19:50,20140420,20141020,16:30:00
AAPL,AAPL,20140421,00260,1,EPS,6.0157,20140930,23:14:29,20140421,20141020,16:30:00
AAPL,AAPL,20140421,02143,1,EPS,6.3243,20140930,10:26:08,20140421,20141020,16:30:00
AAPL,AAPL,20140421,02628,1,EPS,5.8814,20140930,8:00:18,20140421,20141020,16:30:00
AAPL,AAPL,20140422,03346,1,EPS,6.13,20140930,23:55:23,20140422,20141020,16:30:00
AAPL,AAPL,20140424,00085,1,EPS,6.3071,20140930,8:02:42,20140423,20141020,16:30:00
AAPL,AAPL,20140424,00260,1,EPS,6.2,20140930,3:11:42,20140423,20141020,16:30:00
AAPL,AAPL,20140424,00031,1,EPS,6.17,20140930,2:32:03,20140423,20141020,16:30:00
AAPL,AAPL,20140424,00282,1,EPS,6.3729,20140930,2:41:34,20140423,20141020,16:30:00
AAPL,AAPL,20140424,03369,1,EPS,6.3471,20140930,2:43:33,20140423,20141020,16:30:00
AAPL,AAPL,20140424,02539,1,EPS,5.7357,20140930,15:56:30,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00042,1,EPS,6.26,20140930,6:21:50,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00873,1,EPS,6.3114,20140930,13:17:06,20140424,20141020,16:30:00
AAPL,AAPL,20140424,03346,1,EPS,6.3871,20140930,16:08:20,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00192,1,EPS,6.1686,20140930,21:16:10,20140424,20141020,16:30:00
AAPL,AAPL,20140424,02502,1,EPS,6.2986,20140930,10:00:55,20140424,20141020,16:30:00
AAPL,AAPL,20140424,03294,1,EPS,6.3514,20140930,16:03:57,20140424,20141020,16:30:00
AAPL,AAPL,20140424,02830,1,EPS,6.1057,20140930,8:20:28,20140424,20141020,16:30:00
AAPL,AAPL,20140424,02394,1,EPS,6.2667,20140930,8:50:35,20140424,20141020,16:30:00
AAPL,AAPL,20140424,02143,1,EPS,6.2957,20140930,15:53:53,20140424,20141020,16:30:00
AAPL,AAPL,20140424,01749,1,EPS,6.3714,20140930,10:24:13,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00118,1,EPS,6.3857,20140930,8:00:37,20140424,20141020,16:30:00
AAPL,AAPL,20140424,01549,1,EPS,6.2986,20140930,7:41:25,20140424,20141020,16:30:00
AAPL,AAPL,20140424,01267,1,EPS,6.2529,20140930,9:02:28,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00930,1,EPS,6.3057,20140930,5:43:31,20140424,20141020,16:30:00
AAPL,AAPL,20140424,03037,1,EPS,6.2829,20140930,8:22:23,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00898,1,EPS,6.3257,20140930,9:06:34,20140424,20141020,16:30:00
AAPL,AAPL,20140424,01989,1,EPS,6.25,20140930,11:23:39,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00899,1,EPS,6.2186,20140930,5:24:33,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00142,1,EPS,6.2686,20140930,13:33:43,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00468,1,EPS,6.28,20140930,5:19:57,20140424,20141020,16:30:00
AAPL,AAPL,20140424,03102,1,EPS,6.3029,20140930,14:29:15,20140424,20141020,16:30:00
AAPL,AAPL,20140424,03374,1,EPS,6.2486,20140930,10:31:42,20140424,20141020,16:30:00
AAPL,AAPL,20140424,03322,1,EPS,6.5243,20140930,11:12:50,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00157,1,EPS,6.1886,20140930,5:10:39,20140424,20141020,16:30:00
AAPL,AAPL,20140424,02343,1,EPS,6.4443,20140930,7:40:26,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00464,1,EPS,6.2857,20140930,9:12:09,20140424,20141020,16:30:00
AAPL,AAPL,20140424,03742,1,EPS,6.3943,20140930,14:48:32,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00100,1,EPS,6.6573,20140930,8:19:50,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00183,1,EPS,6.3443,20140930,6:37:19,20140424,20141020,16:30:00
AAPL,AAPL,20140424,01951,1,EPS,6.3014,20140930,11:16:45,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00098,1,EPS,6.34,20140930,8:23:17,20140424,20141020,16:30:00
AAPL,AAPL,20140424,01241,1,EPS,6.2557,20140930,16:56:03,20140424,20141020,16:30:00
AAPL,AAPL,20140424,02628,1,EPS,6.16,20140930,12:38:11,20140424,20141020,16:30:00
AAPL,AAPL,20140424,02283,1,EPS,6.5186,20140930,15:01:28,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00254,1,EPS,6.1057,20140930,21:08:47,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00029,1,EPS,6.2743,20140930,10:24:26,20140424,20141020,16:30:00
AAPL,AAPL,20140424,02334,1,EPS,6.49,20140930,14:18:22,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00020,1,EPS,6.2029,20140930,10:18:08,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00228,1,EPS,6.1914,20140930,13:31:52,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00206,1,EPS,6.2471,20140930,12:49:55,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00176,1,EPS,6.3071,20140930,8:03:30,20140424,20141020,16:30:00
AAPL,AAPL,20140424,00220,1,EPS,6.2871,20140930,5:41:26,20140424,20141020,16:30:00
AAPL,AAPL,20140425,00011,1,EPS,6.5114,20140930,8:25:35,20140425,20141020,16:30:00
AAPL,AAPL,20140425,01749,1,EPS,6.37,20140930,5:14:50,20140425,20141020,16:30:00
AAPL,AAPL,20140429,03350,1,EPS,6.2857,20140930,7:13:03,20140429,20141020,16:30:00
AAPL,AAPL,20140430,00118,1,EPS,6.3929,20140930,7:29:07,20140429,20141020,16:30:00
AAPL,AAPL,20140430,00192,1,EPS,6.1714,20140930,21:54:30,20140430,20141020,16:30:00
AAPL,AAPL,20140501,00898,1,EPS,6.3071,20140930,15:04:54,20140501,20141020,16:30:00
AAPL,AAPL,20140502,00930,1,EPS,6.3243,20140930,7:18:12,20140502,20141020,16:30:00
